name	value
GSL_CONST_MKSA_LUX	1.000000000000e+00
GSL_CONST_MKSA_PHOT	1.000000000000e+04
GSL_CONST_MKSA_FOOTCANDLE	1.076000000000e+01
GSL_CONST_MKSA_LAMBERT	1.000000000000e+04
GSL_CONST_MKSA_FOOTLAMBERT)	1.076391040000e+01
#44.14 Radioactivity
GSL_CONST_MKSA_CURIE	3.700000000000e+10
GSL_CONST_MKSA_ROENTGEN	2.580000000000e-04
GSL_CONST_MKSA_RAD)	1.000000000000e-02
#44.15 Force and Energy
GSL_CONST_MKSA_NEWTON	1.000000000000e+00
GSL_CONST_MKSA_DYNE	1.000000000000e-05
GSL_CONST_MKSA_JOULE	1.000000000000e+00
GSL_CONST_MKSA_ERG)	1.000000000000e-07
#44.16 Prefixes
GSL_CONST_NUM_YOTTA	1.000000000000e+24
GSL_CONST_NUM_ZETTA	1.000000000000e+21
GSL_CONST_NUM_EXA	1.000000000000e+18
GSL_CONST_NUM_PETA	1.000000000000e+15
GSL_CONST_NUM_TERA	1.000000000000e+12
GSL_CONST_NUM_GIGA	1.000000000000e+09
GSL_CONST_NUM_MEGA	1.000000000000e+06
GSL_CONST_NUM_KILO	1.000000000000e+03
GSL_CONST_NUM_MILLI	1.000000000000e-03
GSL_CONST_NUM_MICRO	1.000000000000e-06
GSL_CONST_NUM_NANO	1.000000000000e-09
GSL_CONST_NUM_PICO	1.000000000000e-12
GSL_CONST_NUM_FEMTO	1.000000000000e-15
GSL_CONST_NUM_ATTO	1.000000000000e-18
GSL_CONST_NUM_ZEPTO	1.000000000000e-21
GSL_CONST_NUM_YOCTO)	1.000000000000e-24
